Categories,Descriptions,PdDistricts,Months,Day,TimeOfDay,ZipCode,Resolutions
0,25,9,4,5,2,94102,1
10,25,8,4,6,0,94122,1
6,2,8,4,6,0,94122,1
15,8,1,4,6,0,94104,0
6,25,0,4,3,0,94124,1
4,26,3,4,0,3,94110,1
6,25,0,4,6,2,94124,1
0,3,3,4,5,2,94110,1
10,25,3,4,5,2,94110,1
1,25,4,4,6,3,94115,1
6,2,7,4,3,1,94103,1
15,39,9,4,3,1,94103,0
4,13,4,4,3,1,94102,1
13,22,3,4,0,0,94114,1
11,34,5,4,3,0,94117,1
0,3,0,4,3,1,94124,1
15,39,4,7,6,3,94109,0
6,19,6,7,2,3,94118,1
1,25,7,4,2,0,94103,0
8,25,7,4,2,0,94103,0
7,25,4,4,3,2,94102,1
12,25,4,4,3,2,94102,1
8,37,1,4,1,3,94108,0
11,25,0,4,1,3,94124,1
11,18,0,4,1,3,94124,1
8,25,4,4,1,3,94102,0
14,33,2,4,0,1,94110,1
8,7,3,4,3,2,94110,0
6,2,9,4,3,2,94108,1
4,25,3,4,2,1,94110,1
7,25,4,4,4,3,94102,1
4,25,1,4,1,3,94108,1
11,18,1,4,1,3,94108,1
0,25,3,4,1,3,94102,1
7,25,5,4,3,1,94117,1
7,25,4,4,2,1,94102,1
7,25,9,4,1,2,94103,1
7,25,1,4,1,0,94111,1
4,27,0,4,3,2,94124,1
1,25,2,4,0,0,94131,1
7,25,0,4,1,0,94124,1
13,22,7,4,1,2,94103,1
3,25,7,4,1,2,94103,1
8,23,4,4,1,3,94117,1
10,6,4,4,3,1,94115,0
6,25,4,4,3,1,94115,0
2,25,7,4,1,0,94103,0
2,25,7,4,1,0,94103,0
15,25,7,4,1,0,94103,0
4,25,2,4,1,0,94112,1
4,25,1,4,1,0,94104,1
8,31,2,4,1,0,94112,0
13,22,2,4,1,0,94112,0
15,25,4,4,1,1,94102,0
15,39,4,4,1,1,94102,0
0,3,9,4,1,0,94103,1
6,1,8,4,1,1,94112,1
11,34,8,4,1,1,94112,1
14,32,9,4,3,1,94102,1
14,33,2,4,1,0,94112,1
2,25,5,4,5,2,94114,0
13,22,7,4,3,1,94103,1
15,8,7,0,3,1,94103,0
4,13,1,0,3,0,94111,1
0,25,5,0,3,1,94115,1
11,34,5,0,3,1,94115,1
10,6,3,4,6,0,94110,1
0,35,3,4,6,0,94110,1
6,2,3,4,6,0,94110,1
0,3,8,4,6,0,94122,1
8,7,0,4,6,1,94124,0
8,36,3,4,6,1,94110,0
7,25,3,4,6,1,94110,0
4,29,1,4,6,0,94108,1
7,25,5,4,4,1,94118,1
4,13,8,4,6,1,94122,1
6,11,3,4,6,1,94110,1
1,25,7,4,6,3,94103,1
4,26,7,4,6,3,94103,1
8,7,8,4,5,0,94132,0
6,2,4,4,5,0,94117,1
14,32,6,4,1,2,94118,1
8,7,8,4,5,1,94132,0
6,2,4,4,5,1,94102,1
8,37,7,4,6,1,94105,0
8,25,8,4,5,0,94132,0
0,25,7,4,5,1,94108,0
7,25,3,4,5,1,94110,0
12,38,1,4,1,3,94104,1
5,24,0,4,1,1,94134,1
5,10,0,4,1,1,94134,1
14,25,0,4,5,1,94110,1
1,25,7,4,6,2,94103,0
14,25,7,4,6,2,94103,0
8,25,2,4,6,2,94112,1
4,14,7,0,4,0,94158,1
4,27,6,0,4,2,94118,1
4,13,7,0,4,0,94103,1
5,24,7,0,4,0,94103,1
8,25,7,4,2,0,94103,1
8,25,7,4,2,0,94103,1
15,39,1,4,2,1,94111,0
14,32,0,4,2,1,94124,1
8,25,8,4,5,3,94116,1
11,18,8,4,5,3,94122,1
15,39,1,4,5,3,94111,0
12,25,7,4,6,2,94103,1
4,27,7,4,5,0,94102,1
5,24,8,4,5,3,94116,1
5,10,8,4,5,3,94116,1
15,39,4,4,5,3,94123,0
1,25,2,4,5,3,94110,0
7,25,2,4,5,3,94110,0
15,39,2,4,5,3,94110,0
9,25,1,4,1,2,94109,1
12,25,9,4,5,3,94103,0
5,24,5,4,5,3,94114,1
5,10,5,4,5,3,94114,1
2,25,6,4,5,3,94118,1
6,25,0,4,6,0,94134,1
6,19,9,4,1,1,94108,1
15,8,4,0,4,1,94109,0
7,25,3,0,4,1,94110,0
4,14,7,4,2,1,94104,1
5,24,0,4,4,2,94134,1
3,25,3,4,3,3,94110,1
4,13,6,4,6,2,94122,1
2,30,3,4,6,0,94102,0
1,25,8,4,3,0,94132,1
7,25,1,4,5,1,94108,1
7,25,1,4,5,1,94108,1
13,21,1,4,3,3,94109,1
13,21,7,4,3,3,94103,1
8,23,6,4,5,2,94118,1
6,19,6,4,5,2,94118,1
6,11,6,4,5,2,94118,1
4,27,4,4,5,2,94102,1
8,25,4,4,6,2,94102,0
4,15,0,4,5,0,94110,1
4,26,2,4,6,2,94110,1
14,32,4,4,5,2,94123,1
8,23,9,4,4,3,94103,1
11,25,8,4,4,3,94127,1
0,25,8,4,4,3,94132,0
0,0,8,4,4,3,94132,0
1,25,8,4,4,3,94132,0
1,25,8,4,4,3,94132,0
15,39,9,4,6,0,94103,0
8,7,3,4,4,3,94110,0
0,3,7,4,4,3,94105,1
4,12,3,4,6,1,94110,1
11,18,3,4,4,2,94114,1
13,25,5,4,6,1,94117,1
15,39,4,4,6,0,94109,0
4,13,3,4,6,0,94114,1
1,25,6,4,6,3,94122,1
1,25,6,4,6,3,94122,1
4,25,7,4,5,0,94104,1
4,12,6,4,4,0,94118,1
8,36,2,4,6,1,94112,0
6,11,4,4,2,0,94102,1
4,25,4,0,6,0,94102,1
0,0,0,0,2,1,94124,0
9,25,0,0,3,3,94124,1
6,19,3,0,3,3,94102,1
9,25,3,0,3,3,94110,1
6,11,0,4,4,2,94107,1
3,5,7,4,6,1,94103,1
4,14,9,0,3,1,94103,1
14,32,6,0,0,1,94118,1
7,25,1,0,3,1,94108,1
0,3,4,0,1,2,94115,1
1,25,0,4,3,1,94158,0
4,25,3,4,6,3,94110,1
14,25,5,4,6,3,94117,1
14,32,5,4,6,3,94117,1
1,25,9,4,5,3,94103,1
8,36,0,4,4,3,94134,0
1,25,4,4,4,3,94109,0
8,25,4,4,4,3,94109,0
0,25,9,4,4,3,94103,1
0,3,3,7,6,2,94102,0
0,3,7,7,6,2,94105,1
6,25,3,0,3,1,94110,1
4,27,2,0,1,0,94134,1
1,25,1,4,6,0,94104,1
14,32,2,4,5,0,94134,1
6,2,8,4,4,3,94122,1
2,25,1,4,4,2,94111,0
8,25,1,4,4,2,94111,0
8,25,1,4,5,2,94104,1
8,25,1,4,5,2,94104,1
10,6,1,4,5,2,94104,1
0,35,1,4,5,2,94104,1
15,8,0,4,4,2,94124,0
14,32,5,4,3,1,94114,1
4,25,1,4,1,2,94108,1
4,27,2,4,3,1,94110,1
4,13,7,4,3,2,94103,1
11,34,0,4,6,2,94124,1
4,27,8,4,1,1,94112,1
1,25,3,4,5,1,94110,1
8,25,9,4,4,0,94103,0
0,25,0,4,4,0,94124,0
6,25,0,4,3,0,94124,1
14,33,0,4,1,3,94158,1
0,25,7,0,3,3,94103,1
15,39,6,0,3,3,94118,0
5,24,2,4,4,2,94110,1
0,3,3,4,4,2,94102,1
0,35,3,4,4,2,94102,1
1,25,9,4,0,3,94108,1
6,2,4,4,1,0,94102,1
4,27,3,4,1,0,94110,1
4,25,7,4,6,0,94103,1
8,25,7,4,4,2,94111,1
7,25,9,4,4,0,94108,0
4,25,3,4,4,0,94102,1
4,27,4,4,5,1,94109,1
0,25,1,4,6,0,94109,1
0,25,3,4,4,2,94114,1
16,25,2,4,4,0,94112,0
16,25,2,4,4,0,94112,0
2,25,2,4,4,0,94112,0
4,27,7,4,4,2,94103,1
6,25,7,4,4,2,94103,1
13,22,4,4,4,2,94123,1
0,25,0,4,4,1,94124,1
4,14,4,4,4,0,94123,1
0,25,6,4,4,1,94118,1
0,3,0,4,0,2,94134,1
4,27,3,4,4,1,94114,1
1,25,7,4,6,1,94103,0
8,7,8,4,5,2,94122,0
6,2,7,4,5,0,94103,1
11,34,6,4,6,0,94122,1
4,25,9,4,6,0,94108,0
4,29,9,4,6,0,94108,0
1,25,2,4,5,0,94112,1
7,25,4,4,1,2,94102,1
4,26,5,4,5,0,94115,1
1,25,7,4,4,0,94103,0
14,32,7,4,6,1,94103,0
8,7,4,4,5,1,94102,1
15,39,4,4,5,1,94123,0
8,7,0,4,6,0,94124,0
3,25,4,4,6,0,94109,0
1,25,0,4,6,0,94158,1
1,25,4,4,0,0,94102,1
8,36,3,4,6,1,94110,0
4,27,2,4,6,1,94112,1
8,37,3,4,0,0,94110,0
15,8,7,4,6,1,94103,0
8,37,6,4,6,1,94118,0
4,13,6,4,6,1,94122,1
6,11,1,4,6,2,94109,1
9,25,5,4,0,3,94122,1
8,36,9,4,0,2,94102,0
9,25,3,4,4,3,94103,1
1,25,7,4,4,3,94104,1
4,25,9,4,0,2,94108,0
2,30,9,4,0,2,94108,0
11,34,1,4,0,1,94108,1
4,13,7,4,0,2,94104,1
8,23,6,4,0,1,94118,1
4,13,7,4,0,0,94103,1
4,26,8,4,3,2,94122,1
10,6,1,4,3,2,94108,1
6,11,1,4,0,0,94111,1
7,25,7,4,2,2,94103,1
4,13,1,4,2,2,94111,1
8,37,6,4,2,0,94115,0
8,37,0,4,2,0,94134,0
4,25,3,4,0,1,94114,1
8,25,0,4,4,2,94134,1
6,25,5,4,4,2,94117,0
8,25,0,4,4,2,94110,0
0,0,9,4,4,2,94102,1
5,10,2,4,6,2,94134,1
11,18,9,4,0,1,94103,1
7,25,2,4,0,1,94110,1
5,25,5,4,0,1,94117,1
15,39,3,4,4,0,94110,0
6,11,7,4,4,2,94102,1
15,8,1,4,4,0,94104,0
0,3,7,4,6,1,94103,1
4,13,5,4,3,3,94117,1
3,5,5,4,3,3,94117,1
4,29,3,4,4,0,94117,0
4,26,1,4,4,2,94104,1
11,25,8,4,6,0,94122,0
11,34,5,4,4,2,94114,1
0,25,2,4,2,3,94134,1
4,27,3,4,2,3,94103,1
6,11,8,4,2,3,94132,1
6,2,3,4,2,0,94110,1
0,0,3,4,3,3,94117,1
13,21,3,4,3,3,94117,1
6,2,1,4,2,0,94104,1
14,32,2,4,0,1,94112,1
0,3,9,4,0,2,94108,1
7,25,9,4,4,0,94103,0
0,4,7,4,3,2,94102,1
1,25,5,4,2,0,94117,1
10,6,0,4,3,0,94124,1
0,25,0,4,3,0,94124,1
1,25,5,4,3,0,94122,0
2,25,3,4,3,0,94114,0
6,25,3,4,0,2,94110,1
11,34,2,4,0,3,94112,1
8,9,1,4,4,0,94111,1
15,39,3,4,0,2,94114,0
6,25,3,4,0,2,94114,0
3,5,4,4,6,1,94102,1
6,19,4,4,6,1,94102,1
2,25,4,4,2,0,94111,0
2,30,4,4,2,0,94111,0
14,32,3,4,4,2,94110,1
4,12,1,4,4,0,94104,1
8,7,0,4,0,0,94134,0
4,29,4,4,0,0,94102,1
8,23,5,4,4,0,94118,1
4,13,8,4,0,2,94132,1
15,39,3,4,0,0,94114,0
1,25,9,4,0,3,94109,1
11,34,4,4,0,0,94102,1
12,38,7,4,0,2,94104,1
11,18,7,4,0,2,94104,1
11,34,7,4,0,2,94103,1
8,7,3,4,0,2,94110,0
4,27,4,4,2,1,94102,1
4,27,0,4,2,1,94110,1
4,13,2,4,2,1,94110,1
1,25,6,4,3,0,94118,1
1,25,7,4,0,3,94105,1
1,25,7,4,3,3,94105,1
1,25,7,4,1,3,94105,1
8,31,2,4,0,0,94112,0
2,25,5,4,0,0,94117,0
4,25,8,4,0,0,94116,1
14,33,0,4,0,0,94124,1
0,3,7,4,4,0,94108,1
6,25,5,4,4,0,94117,1
11,34,9,4,0,1,94103,1
8,25,9,4,3,0,94103,0
8,31,9,4,3,0,94103,0
4,13,7,4,3,0,94103,1
14,32,1,4,3,0,94108,1
11,18,8,4,1,2,94116,1
1,25,1,4,0,0,94104,1
4,13,0,4,0,0,94124,1
14,32,2,4,4,0,94131,1
0,3,2,4,0,0,94134,1
14,25,4,4,0,0,94109,1
4,13,7,4,2,2,94105,1
3,25,9,4,3,3,94104,1
7,25,9,4,3,3,94104,1
5,25,0,4,2,2,94124,1
0,25,0,4,0,0,94134,1
8,7,3,4,0,0,94110,0
4,29,9,4,5,0,94108,1
16,25,9,4,5,0,94108,1
16,25,9,4,3,3,94103,0
15,39,9,4,3,3,94103,0
8,37,9,4,3,3,94103,0
9,25,7,4,3,3,94105,1
7,25,3,4,4,0,94110,0
8,7,7,4,2,0,94158,0
0,3,3,4,3,3,94110,1
6,19,3,4,3,3,94110,1
8,7,7,4,3,3,94103,0
11,18,1,4,3,0,94111,1
7,25,5,4,3,0,94114,1
1,25,6,4,3,0,94118,1
8,25,2,4,3,0,94112,1
4,13,4,7,0,0,94117,1
11,34,6,7,3,0,94122,1
14,25,1,0,6,3,94108,1
14,32,1,0,6,3,94108,1
4,25,3,4,1,1,94114,1
5,10,5,4,5,2,94117,1
4,27,2,4,1,1,94112,1
1,25,6,4,5,2,94118,1
14,32,0,0,6,1,94124,1
8,31,3,0,4,2,94117,0
6,2,7,0,4,2,94105,1
4,29,1,0,6,0,94109,1
6,1,1,4,4,0,94109,1
13,22,7,4,3,0,94103,1
2,25,3,4,5,3,94110,0
6,2,3,4,5,3,94110,1
15,39,5,4,5,2,94117,0
10,6,2,4,5,2,94112,0
14,32,1,4,3,0,94108,1
4,27,0,4,2,0,94124,1
0,3,0,4,1,0,94124,1
4,14,1,4,5,2,94104,1
4,29,7,4,5,1,94103,0
15,39,7,4,5,0,94104,0
4,27,6,4,5,0,94118,1
5,10,3,4,5,3,94110,1
8,7,7,4,5,1,94107,0
14,32,3,4,5,1,94110,1
14,32,6,4,6,0,94122,1
8,25,8,4,4,0,94116,0
6,25,1,4,2,0,94109,1
13,22,0,4,0,0,94124,1
